Modelo,Precio,Color,M,L,XL,2XL,3XL,4XL,5XL
EDWING,1450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVAN,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JULIO ABORREGADO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHALECO ROCKERO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHELECO JHONY,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNO,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIKER,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TADEO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUGAR,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUGO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDUARDO,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPORT,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMSES,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEL,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMANDO,1750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VICTOR,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAVIS,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JASSO,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOLVERINE,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DILAN,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVIADOR,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALIANO,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPERMAN,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEAD POOL,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBERT,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPITAN AMERICA,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEL,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATMAN,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENATA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENTOCKY PUNTAS,1850.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRMA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIZ,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JENIFER,850.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAZMIN,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTRELLA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOFIA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISABELLA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRIL,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SILVIA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARISOL,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VANESSA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGALLY,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FATIMA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABY,700.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELIZABETH,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GERALDINE,1650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGLU,1450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VALENTINA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELI,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIRIAM,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
